0	9609	RT @dbongino: Global warming is an existential threat to the the truth. Global warming is another hoax in a long line of liberal hoaxes. Be…
0	8466	"RT @jim1036: Succinct description of the differences between climate change and global warming. 
🌎🌎🌎🌎🌎🌎🌎
#ClimateChange
#GlobalWarming

htt…"
0	8643	RT @dbongino: Global warming is an existential threat to the the truth. Global warming is another hoax in a long line of liberal hoaxes. Be…
0	6643	RT @dbongino: Global warming is an existential threat to the the truth. Global warming is another hoax in a long line of liberal hoaxes. Be…
0	9000	RT @dbongino: Global warming is an existential threat to the the truth. Global warming is another hoax in a long line of liberal hoaxes. Be…
0	8692	RT @dbongino: Global warming is an existential threat to the the truth. Global warming is another hoax in a long line of liberal hoaxes. Be…
0	9050	RT @dbongino: Global warming is an existential threat to the the truth. Global warming is another hoax in a long line of liberal hoaxes. Be…
0	1342	RT @BreitbartNews: Awful news for the Global Warming Gang. https://t.co/uziMaZduzV
0	1287	RT @BreitbartNews: Awful news for the Global Warming Gang. https://t.co/uziMaZduzV
0	4307	RT @dbongino: Global warming is an existential threat to the the truth. Global warming is another hoax in a long line of liberal hoaxes. Be…
0	5205	RT @dbongino: Global warming is an existential threat to the the truth. Global warming is another hoax in a long line of liberal hoaxes. Be…
0	251	@HoustonTX @Shell Did you also recognize them for global warming and destroying our environment or did you just take their money?🤔🤔🤔
0	6665	RT @MetaWootenPeace: When im in my 70s and global warming has turned Michigan into the most fertile recruiting state &gt;&gt;&gt;&gt;
0	8271	RT @dbongino: Global warming is an existential threat to the the truth. Global warming is another hoax in a long line of liberal hoaxes. Be…
0	4136	RT @BreitbartNews: Awful news for the Global Warming Gang. https://t.co/1IJuj0Hjkm
0	8957	RT @dbongino: Global warming is an existential threat to the the truth. Global warming is another hoax in a long line of liberal hoaxes. Be…
0	9637	RT @business: A landmark global warming case comes down to … accounting https://t.co/wnz0KYOSJR
0	7257	RT @dbongino: Global warming is an existential threat to the the truth. Global warming is another hoax in a long line of liberal hoaxes. Be…
0	5837	RT @business: A landmark global warming case comes down to … accounting https://t.co/ISvenlA5P3
0	6405	RT @dbongino: Global warming is an existential threat to the the truth. Global warming is another hoax in a long line of liberal hoaxes. Be…
0	9185	RT @dbongino: Global warming is an existential threat to the the truth. Global warming is another hoax in a long line of liberal hoaxes. Be…
0	9841	RT @dbongino: Global warming is an existential threat to the the truth. Global warming is another hoax in a long line of liberal hoaxes. Be…
0	8270	RT @dbongino: Global warming is an existential threat to the the truth. Global warming is another hoax in a long line of liberal hoaxes. Be…
0	4647	RT @dbongino: Global warming is an existential threat to the the truth. Global warming is another hoax in a long line of liberal hoaxes. Be…
0	4273	RT @BreitbartNews: Awful news for the Global Warming Gang. https://t.co/1IJuj0Hjkm
1	7686	RT @britneyspears: Does anyone think global warming is a good thing? I love Lady Gaga.  I think she's a really interesting artist.
1	8284	@mahyuta @MLeiter42 @JWSpry Or a software engineer building the website, a scientist writing the content, and a jou… https://t.co/kPuSRVbCYF
1	5506	Global warming is great if you don't have a lot of winter kit. 😬
1	4613	bitch fuck global warming it’s supposed to be nice and cloudy rn
1	8250	it's scalding hot in here n i highly doubt our cooler season will b cooler than last year so like...... global warming stop pls
1	4576	RT @GeraldKutney: @CBCAlerts @CBCNews Please tell the Premier that that will not put out global warming - #climatechange #climatecrisis
1	8730	RT @ATomalty: I would like to know which scientists on which scientific committee decided that the global warming science was settled? Plea…
1	8955	RT @BDBOY55: Biden Spent $924,000 On Private Jets ... To Tell America About Threat From Global Warming https://t.co/WXKdCqj2HH via @gateway…
1	9343	RT @SushantSin: Reminded of this old toon. Apropos of global warming, @suhasinih https://t.co/bEEjsNbNIK https://t.co/t3suZtXeRD
1	9152	"RT @tbseriesemovies: a person who can cause global warming:

Zendaya https://t.co/7wSNeqMWOF"
1	4298	It’s October. this is global warming right in front of us https://t.co/BUZZ7LSwjt
1	6530	@CBCNews @chrishallcbc The 2 divides: 1)Those that believe in science &amp; are very concerned about global warming &amp; t… https://t.co/vQZkSFxQrB
1	5093	"RT @NatCapCoalition: Birds Are Telling Us It's Time to Take Action on Climate: 

Global warming poses an existential threat to two-thirds o…"
1	6327	RT @CaucasianJames: several drinks deep at this wedding and i can’t stop thinking about the penguins. we gotta stop global warming. i’m not…
1	6849	This global warming ain’t no hoe...
1	2751	RT @apheda: # Tuvalu MP Enele Sopoaga opens #ACFID2019 calling for 1. Australian govt meaningful action with climate financing, not re-pack…
1	7974	RT @BLaw: New York’s AG will square off against Exxon in a 3-week trial starting today over whether the oil giant cooked its books when it…
1	503	RT @climatecosts: Exxon knew for more than 50 years that their products were causing global warming. Instead of warning the public, they sp…
1	1481	"RT @ClimateReality: The ball is in our court to do something about the climate crisis.  
https://t.co/wMlAciqvHB https://t.co/VBAKYk55XC"
1	4397	RT @buttpraxis: “How are you going to pay for that?” is the ultimate gaslighting by the Capital class. They never asked each other how they…
1	3264	RT @simbaax__: Global warming 😔 https://t.co/qrp2Vy73vK
1	1759	RT @JenitaM: Getting schooled at #SustainableBizSummit lunch by MIT Prof Sterman’s Climate Interactive tool. Keeping global warming under 2…
1	6896	RT @twidderoftweets: @ever_relentless @Condor_Law Until i see Californians protesting energy fraud,EU style corruption, gas pricing,  fake…
1	1505	Guest column The Rev. Peter Kakos: Global warming, nuclear abolitionists should join forces - GazetteNET: Guest col… https://t.co/BgSDI0pBRW
1	5377	"RT @spothvegr: Highly venomous #lionfish on the menu in #Greece &amp; #Cyprus as conservationists tackle invasive #species
🇬🇷🌊🐠🇨🇾
""...#exotic-l…"
2	8628	RT @DrJulesGomes: Lots of hot air on global warming at today's presser. I'm trying to ask about China's role as Chief Pollutor and human ri…
2	3633	RT @1776Stonewall: I told you about the Canadian professor who was fired because she proved polar bears were thriving in the arctic - over…
2	83	RT @1776Stonewall: I told you about the Canadian professor who was fired because she proved polar bears were thriving in the arctic - over…
2	5300	RT @CleanAirMoms: Sea level rise, facts and information https://t.co/VBeCZt2OZY
2	161	RT @1776Stonewall: I told you about the Canadian professor who was fired because she proved polar bears were thriving in the arctic - over…
2	6442	"PAY ATTENTION: I'll translate...

2nd class teleceleb on TeleMadrid, show for kids, was asked about AGW..
Answer: I… https://t.co/YdDcZkxjVC"
2	9947	RT @ClimatismBlog: DEMONISE #CarbonDioxide, the byproduct of 90+% of all global (real) energy output, and you control ALL industry, soverei…
2	2045	RT @1776Stonewall: I told you about the Canadian professor who was fired because she proved polar bears were thriving in the arctic - over…
2	2340	RT @1776Stonewall: I told you about the Canadian professor who was fired because she proved polar bears were thriving in the arctic - over…
2	5780	@Seallion Latin Stella - A star-shaped structure. Subtitles we are all living in a yellow submarine called Sun. And… https://t.co/JD7Ev9m0yN
2	2053	RT @1776Stonewall: I told you about the Canadian professor who was fired because she proved polar bears were thriving in the arctic - over…
2	459	RT @SafetyPinDaily: Global warming eclipses nuclear war as top concern: Nobel laureate || Via Al-Monitor https://t.co/7RtmxBeGOC
2	2995	RT @1776Stonewall: I told you about the Canadian professor who was fired because she proved polar bears were thriving in the arctic - over…
2	521	RT @cynthiablee: Oh jeez, another speaker saying that #StanfordGUP building housing on campus creates “externalities” that contribute to “g…
2	4625	Global Warming Pricks Literally Thrown Out of Burger Joint https://t.co/D7ULO9b1X3 via @YouTube
2	1198	RT @kenyshabee: 3 years ago today it was 58 degrees in Orlando.... today it’s 88. Global warming gon cook our asses up!
2	8208	@kabamur_taygeta It's because it was never a crisis in the first place, it was a move towards tyranny like all glob… https://t.co/4rk9qyGp0C
2	9621	@ClimateBen Yet, according to Antarctic scientists, the earth was a whole 2 degrees C warmer before approx 100,000… https://t.co/gbEJSXijRL
2	2406	RT @1776Stonewall: I told you about the Canadian professor who was fired because she proved polar bears were thriving in the arctic - over…
2	3442	RT @1776Stonewall: I told you about the Canadian professor who was fired because she proved polar bears were thriving in the arctic - over…
2	3532	RT @1776Stonewall: I told you about the Canadian professor who was fired because she proved polar bears were thriving in the arctic - over…
2	6034	@arvindlotus @JayantBhandari5 @smjalageri @VotePriya @VotePercyDastur @MoniqueQuintal @MichaelMelin4 @philipkv… https://t.co/X8CIzLcVVi
2	3627	RT @1776Stonewall: I told you about the Canadian professor who was fired because she proved polar bears were thriving in the arctic - over…
2	1740	RT @1776Stonewall: I told you about the Canadian professor who was fired because she proved polar bears were thriving in the arctic - over…
2	5103	@PmJustnot @barbarella128i The passage is only open 60 - 90 days of the year. hopefully with global warming it'll increase lol.
3	6207	RT @nytclimate: From @NYTOpinion: We’re not in this climate mess because we heat our homes or drive cars, which is what fossil fuel compani…
3	6017	RT @jonlis1: These individuals have killed more people than global warming https://t.co/doly2bbyM4
3	6103	RT @nytclimate: From @NYTOpinion: We’re not in this climate mess because we heat our homes or drive cars, which is what fossil fuel compani…
3	6755	RT @lgbtop: the year is 2096. global warming and world war iii have thrown the earth into a nuclear winter. the human race has been extinct…
3	9435	RT @nytclimate: From @NYTOpinion: We’re not in this climate mess because we heat our homes or drive cars, which is what fossil fuel compani…
